asset,trade_date,fwd_return,return,benchmark_return
000001.SZ,2025-01-02,0.010012,0.011585,-0.001371
000002.SZ,2025-01-02,-0.018906,-0.013456,-0.004958
000003.SZ,2025-01-02,0.000601,0.016083,-0.002461
000004.SZ,2025-01-02,0.003795,0.013878,0.001784
000005.SZ,2025-01-02,-0.008946,-0.019166,-0.000146
000001.SZ,2025-01-03,-0.003047,-0.024131,-0.002288
000002.SZ,2025-01-03,-0.019012,-0.015474,-0.009209
000003.SZ,2025-01-03,0.007649,-0.007209,0.001356
000004.SZ,2025-01-03,-0.008432,-0.010243,-0.012584
000005.SZ,2025-01-03,-0.005387,-0.000582,0.000567
000001.SZ,2025-01-06,-0.025301,-0.013733,-0.004893
000002.SZ,2025-01-06,-0.008088,0.012731,-0.004038
000003.SZ,2025-01-06,0.009675,0.018613,-0.002918
000004.SZ,2025-01-06,-0.011117,-0.006674,0.000319
000005.SZ,2025-01-06,-0.012251,0.000914,0.006794
000001.SZ,2025-01-07,-0.015471,0.010313,0.000597
000002.SZ,2025-01-07,0.003585,0.032005,0.003811
000003.SZ,2025-01-07,-0.021993,-0.007106,0.002883
000004.SZ,2025-01-07,-0.001888,0.008195,-0.000333
000005.SZ,2025-01-07,0.016672,0.025262,-0.003378
000001.SZ,2025-01-08,0.012031,0.00244,0.000636
000002.SZ,2025-01-08,-0.021872,-0.014952,-0.000981
000003.SZ,2025-01-08,0.008988,0.013743,-0.006618
000004.SZ,2025-01-08,0.002054,0.015763,-0.009962
000005.SZ,2025-01-08,-0.014632,-0.009167,0.006285
000001.SZ,2025-01-09,-0.003106,-0.011927,-0.001843
000002.SZ,2025-01-09,-0.002502,0.018282,-0.00214
000003.SZ,2025-01-09,0.006963,0.012231,-0.000604
000004.SZ,2025-01-09,-0.011973,-0.021369,-5.8e-05
000005.SZ,2025-01-09,-0.004436,0.013994,0.003265
000001.SZ,2025-01-10,-0.000241,0.008021,-0.001699
000002.SZ,2025-01-10,0.020521,0.007935,0.002917
000003.SZ,2025-01-10,-0.022909,-0.00384,-0.008441
000004.SZ,2025-01-10,-0.020353,-0.003654,-0.0045
000005.SZ,2025-01-10,0.011641,0.034937,-0.004159
000001.SZ,2025-01-13,-0.006239,0.002465,0.002465
000002.SZ,2025-01-13,0.008236,0.005529,0.003512
000003.SZ,2025-01-13,-0.004801,-0.020404,-0.000396
000004.SZ,2025-01-13,0.000353,-0.012654,0.001299
000005.SZ,2025-01-13,0.00142,0.019665,0.000964
000001.SZ,2025-01-14,0.010893,0.000908,-0.000593
000002.SZ,2025-01-14,-0.029977,-0.021577,0.001814
000003.SZ,2025-01-14,-0.021286,0.010159,-0.00873
000004.SZ,2025-01-14,0.017567,-0.002146,0.003895
000005.SZ,2025-01-14,-0.00869,-0.026442,0.006246
000001.SZ,2025-01-15,0.004417,-0.00879,-0.00137
000002.SZ,2025-01-15,-0.001599,-0.011702,0.005493
000003.SZ,2025-01-15,0.004571,0.007386,-0.003966
000004.SZ,2025-01-15,-0.016261,-0.023333,0.006285
000005.SZ,2025-01-15,-0.001541,0.011591,6.7e-05
000001.SZ,2025-01-16,-0.006944,-0.00392,-0.002801
000002.SZ,2025-01-16,0.01008,0.003497,-0.0015
000003.SZ,2025-01-16,-0.023786,-0.017682,0.00827
000004.SZ,2025-01-16,-0.006712,-0.012649,0.001687
000005.SZ,2025-01-16,0.024073,-0.009448,-0.001043
000001.SZ,2025-01-17,0.003679,-0.013132,0.003675
000002.SZ,2025-01-17,-0.010234,-0.007143,-0.003762
000003.SZ,2025-01-17,0.004548,-0.006472,-0.000715
000004.SZ,2025-01-17,-0.001083,-0.006593,0.006678
000005.SZ,2025-01-17,-0.015071,-0.0045,-0.000169
000001.SZ,2025-01-20,0.005589,0.001904,0.00315
000002.SZ,2025-01-20,-0.013019,-0.009817,0.000111
000003.SZ,2025-01-20,0.011765,0.008166,0.001913
000004.SZ,2025-01-20,0.004364,-0.008584,0.004748
000005.SZ,2025-01-20,-0.000336,-0.009689,0.002709
000001.SZ,2025-01-21,-0.002186,0.001974,0.004607
000002.SZ,2025-01-21,-0.004556,0.01818,-0.006233
000003.SZ,2025-01-21,0.018617,0.013927,0.004368
000004.SZ,2025-01-21,0.00879,0.009813,-0.005726
000005.SZ,2025-01-21,-0.016887,0.009803,-0.005075
000001.SZ,2025-01-22,-0.000124,0.010077,-0.008219
000002.SZ,2025-01-22,-0.0111,0.011112,0.000222
000003.SZ,2025-01-22,-0.012458,-0.007538,-0.004303
000004.SZ,2025-01-22,-0.015135,-0.002,-0.004859
000005.SZ,2025-01-22,-0.006435,0.014068,-0.000307
000001.SZ,2025-01-23,0.014065,-0.003872,-0.00329
000002.SZ,2025-01-23,-0.01999,-0.01864,0.000977
000003.SZ,2025-01-23,-0.00783,0.004273,0.001699
000004.SZ,2025-01-23,0.030252,-0.008713,0.00444
000005.SZ,2025-01-23,-0.010895,-0.008168,-0.007249
000001.SZ,2025-01-24,-0.014602,0.000918,-0.000412
000002.SZ,2025-01-24,0.000811,-0.003489,0.005773
000003.SZ,2025-01-24,0.009785,-0.018405,-0.00346
000004.SZ,2025-01-24,-0.029688,-0.047017,-0.002651
000005.SZ,2025-01-24,0.013336,0.000565,-0.005863
000001.SZ,2025-01-27,-0.019407,0.005567,0.000788
000002.SZ,2025-01-27,0.00048,-0.000642,0.000192
000003.SZ,2025-01-27,0.018054,0.014631,0.001079
000004.SZ,2025-01-27,-0.020429,-0.001867,-0.003421
000005.SZ,2025-01-27,0.010938,-0.015253,-0.000688
